[2026-01-16 13:47:24,875] [INFO] Starting run. Log file: ./logs/precodahora\run_20260116_134724.log
[2026-01-16 13:47:26,067] [INFO] BOOTSTRAP GET https://precodahora.ba.gov.br/produtos/ -> 200
[2026-01-16 13:47:26,069] [INFO] Cookies received: ['token', 'session', 'cookiesession1']
[2026-01-16 13:47:26,069] [INFO] CSRF token found: yes
[2026-01-16 13:47:26,070] [INFO] GASOLINA: fetching page 1 (only) ...
[2026-01-16 13:47:26,572] [INFO] GASOLINA: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GASOLINA\dt=2026-01-16\run_id=34e06316-a454-45b0-88ef-05f6583e6407\data.jsonl
[2026-01-16 13:47:26,574] [INFO] Sleeping 1.33s before next fuel...
[2026-01-16 13:47:27,910] [INFO] ETANOL: fetching page 1 (only) ...
[2026-01-16 13:47:28,300] [INFO] ETANOL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=ETANOL\dt=2026-01-16\run_id=8ef8c4a9-98bb-4848-b940-0248f9d6dc19\data.jsonl
[2026-01-16 13:47:28,300] [INFO] Sleeping 1.90s before next fuel...
[2026-01-16 13:47:30,196] [INFO] GNV: fetching page 1 (only) ...
[2026-01-16 13:47:30,500] [INFO] GNV: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=GNV\dt=2026-01-16\run_id=2584f02a-cf55-4a7d-b975-00b1a088aca5\data.jsonl
[2026-01-16 13:47:30,504] [INFO] Sleeping 1.72s before next fuel...
[2026-01-16 13:47:32,222] [INFO] DIESEL: fetching page 1 (only) ...
[2026-01-16 13:47:32,714] [INFO] DIESEL: wrote 25 rows (page 1) -> ./raw_out\source=precodahora\anp=DIESEL\dt=2026-01-16\run_id=16bc5090-26b2-4bb4-abcb-b81876694ef4\data.jsonl
[2026-01-16 13:47:32,719] [INFO] Overall manifest saved: ./raw_out\overall_manifest.json
[2026-01-16 13:47:32,719] [INFO] Run completed successfully.
