[2026-01-16 15:34:31,154] [INFO] Starting run. Log file: ./scraping/logs/precodahora\run_20260116_153431.log
[2026-01-16 15:34:32,747] [INFO] BOOTSTRAP GET https://precodahora.ba.gov.br/produtos/ -> 200
[2026-01-16 15:34:32,750] [INFO] Cookies received: ['token', 'session', 'cookiesession1']
[2026-01-16 15:34:32,751] [INFO] CSRF token found: yes
[2026-01-16 15:34:32,752] [INFO] GASOLINA: fetching page 1 (only) ...
[2026-01-16 15:34:33,085] [INFO] GASOLINA: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=GASOLINA\dt=2026-01-16\run_id=51b8f50b-d082-4426-968f-007b1b9d92d8\data.jsonl
[2026-01-16 15:34:33,085] [INFO] Sleeping 2.16s before next fuel...
[2026-01-16 15:34:35,250] [INFO] ETANOL: fetching page 1 (only) ...
[2026-01-16 15:34:35,590] [INFO] ETANOL: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=ETANOL\dt=2026-01-16\run_id=b4e65600-a75e-4704-93db-fcc35c816d6b\data.jsonl
[2026-01-16 15:34:35,595] [INFO] Sleeping 2.16s before next fuel...
[2026-01-16 15:34:37,760] [INFO] GNV: fetching page 1 (only) ...
[2026-01-16 15:34:38,024] [INFO] GNV: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=GNV\dt=2026-01-16\run_id=5ed24d73-34f0-4656-9cfc-f86a591f34c2\data.jsonl
[2026-01-16 15:34:38,025] [INFO] Sleeping 1.72s before next fuel...
[2026-01-16 15:34:39,744] [INFO] DIESEL: fetching page 1 (only) ...
[2026-01-16 15:34:40,143] [INFO] DIESEL: wrote 25 rows (page 1) -> ./scraping/raw_out\source=precodahora\anp=DIESEL\dt=2026-01-16\run_id=32c1c6b4-be2c-4865-a590-a24704a43634\data.jsonl
[2026-01-16 15:34:40,144] [INFO] Overall manifest saved: ./scraping/raw_out\overall_manifest.json
[2026-01-16 15:34:40,144] [INFO] Run completed successfully.
